Eng_strain True_strain S11 S22 S33 S12 S13 S23
0 0 -0.501042504465801 -0.0475965725481762 -0.584705854956201 -0.132367165700549 0.00512936506197746 0.0317294606564796
0.002 0.00205807884874526 -0.476705482257983 -0.0640095599661268 -0.570541824351895 -0.112753382417337 -0.0307604346464487 0.00563516741100786
0.004 0.00411604444316909 -0.469731827772689 -0.014952357643466 -0.593733455013379 -0.13161606310412 -0.0388425046598571 -0.0197614215218553
0.006 0.0061736377369117 -0.507179813930304 -0.00332764577423012 -0.570726243080344 -0.126936472239691 0.000749931752563128 -0.0163199440283359
0.008 0.00823225379634229 -0.465312264531824 -0.00697060932019084 -0.628204594565248 -0.145313706302097 0.013415770499105 0.0143771952079883
0.01 0.0102895859344318 -0.518783370800171 0.0128436060989508 -0.612005832212152 -0.11736885090061 -0.0222548923138117 0.0229191212029692
0.012 0.0123469388556311 -0.532699021616524 -0.0221734924951849 -0.548840283776939 -0.0786253904400646 0.0124132983361895 0.00669071261530424
0.014 0.0144052722061991 -0.444258303274041 -0.020641448682498 -0.600333744607019 -0.105429250671572 0.0269043446716911 0.00832419209010285
0.016 0.0164614770671325 -0.420272591144008 -0.0114532845759415 -0.54934743501924 -0.0517202492949645 -0.0172964690929693 0.0138595461684556
0.018 0.0185202130985044 -0.48801146737381 -0.0563256913578383 -0.601196006285457 -0.0514737154521715 0.0257860609926882 0.0153402019969114
0.02 0.02057849007717 -0.445293253919158 0.0312358429329607 -0.535186432097323 -0.0466858692787151 0.00388202024811566 0.00563064645885956
0.022 0.0226361166993432 -0.486166575289181 -0.00533329723464705 -0.610111418250284 -0.0181785149212745 0.023152688259858 -0.00327178183792574
0.024 0.0246913363212143 -0.496056536352487 -0.0255525659358627 -0.596531169810207 -0.0573033070308795 -0.0280908322627281 0.0139072309598786
0.026 0.0267489962693958 -0.485133785104977 -0.0303416160572666 -0.596989118413227 -0.0389868173308797 -0.015409065165863 -0.00344310574134894
0.028 0.02880756631666 -0.524324116985407 -0.0310535442151617 -0.60082152306316 -0.0205924545990546 -0.0127397513852499 -0.0116144728582815
0.03 0.0308591838506672 -0.536747668886743 -0.0137364527388106 -0.558525327194678 -0.0167718625382652 -0.0432537560676372 0.012626886688108
