Eng_strain True_strain S11 S22 S33 S12 S13 S23 normal_sep_y_A shear_slip_x_A
0.000000 0.000000 -0.501043 -0.047597 -0.584706 -0.132367 0.005129 0.031729 10.206097 0.000000
0.002000 0.002058 -0.476705 -0.064010 -0.570542 -0.112753 -0.030760 0.005635 11.243983 -0.037081
0.004000 0.004116 -0.469732 -0.014952 -0.593733 -0.131616 -0.038843 -0.019761 11.259322 0.544926
0.006000 0.006174 -0.507180 -0.003328 -0.570726 -0.126936 0.000750 -0.016320 11.056374 0.057054
0.008000 0.008232 -0.465312 -0.006971 -0.628205 -0.145314 0.013416 0.014377 10.916306 0.060542
0.010000 0.010290 -0.518783 0.012844 -0.612006 -0.117369 -0.022255 0.022919 11.039996 0.148836
0.012000 0.012347 -0.532699 -0.022173 -0.548840 -0.078625 0.012413 0.006691 11.164265 0.466250
0.014000 0.014405 -0.444258 -0.020641 -0.600334 -0.105429 0.026904 0.008324 11.095199 0.694333
0.016000 0.016461 -0.420273 -0.011453 -0.549347 -0.051720 -0.017296 0.013860 10.885695 0.746929
0.018000 0.018520 -0.488011 -0.056326 -0.601196 -0.051474 0.025786 0.015340 10.775490 0.865721
0.020000 0.020578 -0.445293 0.031236 -0.535186 -0.046686 0.003882 0.005631 10.829501 1.343874
0.022000 0.022636 -0.486167 -0.005333 -0.610111 -0.018179 0.023153 -0.003272 10.663663 1.930452
0.024000 0.024691 -0.496057 -0.025553 -0.596531 -0.057303 -0.028091 0.013907 10.885010 1.925886
0.026000 0.026749 -0.485134 -0.030342 -0.596989 -0.038987 -0.015409 -0.003443 10.884054 2.213002
0.028000 0.028808 -0.524324 -0.031054 -0.600822 -0.020592 -0.012740 -0.011614 11.306209 2.370548
0.030000 0.030859 -0.536748 -0.013736 -0.558525 -0.016772 -0.043254 0.012627 11.035970 2.558178
0.032000 0.032922 -0.559411 -0.038861 -0.635539 0.019393 0.019876 -0.015456 10.956718 3.116797
0.034000 0.034975 -0.483826 -0.033454 -0.641178 0.020845 0.011177 0.008886 11.151091 3.749715
0.036000 0.037032 -0.551284 -0.035312 -0.618193 -0.000653 0.000749 -0.008053 10.957168 4.112933
0.038000 0.039087 -0.504712 -0.075066 -0.575233 0.040872 -0.008091 0.023025 11.147207 4.452612
0.040000 0.041142 -0.499001 0.003120 -0.609407 0.019330 0.009865 0.012891 10.948458 4.757103
0.042000 0.043191 -0.565734 -0.123147 -0.601173 -0.004034 0.016016 0.004355 11.329068 5.281106
0.044000 0.045256 -0.460432 -0.005392 -0.572174 0.003393 0.009214 0.037308 11.058111 5.861353
0.046000 0.047305 -0.498794 -0.040782 -0.629930 0.021700 0.004381 0.005731 10.675488 6.578505
0.048000 0.049360 -0.457560 0.005209 -0.596710 -0.010490 0.000850 0.015482 10.981152 6.540082
0.050000 0.051413 -0.484933 -0.031369 -0.591612 -0.007751 0.013506 0.018615 11.556612 7.854848
0.052000 0.053463 -0.469889 0.022695 -0.574679 0.018670 0.014286 0.009248 10.928475 7.805494
0.054000 0.055511 -0.508381 -0.009146 -0.635712 -0.001663 0.020583 -0.008851 11.094356 8.476028
0.056000 0.057568 -0.427966 -0.010492 -0.538527 -0.001632 -0.003352 0.017303 11.469383 9.065545
0.058000 0.059619 -0.481940 -0.013824 -0.542205 -0.001266 -0.003862 0.003219 11.171279 8.989574
0.060000 0.061673 -0.466344 -0.031011 -0.646533 0.015825 0.008617 -0.002515 11.154430 9.406220
0.062000 0.063715 -0.464896 -0.010459 -0.611373 0.020448 0.042542 -0.007665 11.169878 9.936094
0.064000 0.065774 -0.500158 -0.021047 -0.571356 -0.003054 0.008425 -0.009184 11.189328 10.247861
0.066000 0.067813 -0.455412 -0.005702 -0.521137 -0.031823 0.016774 -0.028074 10.911944 10.749371
0.068000 0.069868 -0.416036 0.024292 -0.568781 -0.007400 -0.035114 0.012338 10.800722 10.461924
0.070000 0.071909 -0.470623 -0.025912 -0.547970 -0.039342 -0.018717 -0.013015 11.167136 11.516782
0.072000 0.073963 -0.451442 -0.004415 -0.567732 -0.047153 -0.029116 -0.010086 11.197055 11.821074
0.074000 0.076001 -0.443248 0.041735 -0.564131 -0.030709 -0.025952 0.008250 11.395237 11.929111
0.076000 0.078057 -0.435324 -0.028283 -0.528762 -0.046003 0.001539 -0.023495 11.027980 11.981400
0.078000 0.080092 -0.445847 0.022520 -0.550200 -0.068576 0.022667 0.000608 11.005845 12.612368
0.080000 0.082139 -0.487115 0.047903 -0.566834 -0.037934 0.010774 0.005755 11.170735 12.532858
0.082000 0.084192 -0.484470 -0.011381 -0.566978 -0.041593 -0.024531 0.014557 11.076121 12.889099
0.084000 0.086221 -0.510706 -0.026312 -0.604760 -0.035948 0.000869 0.004763 11.821738 13.262500
0.086000 0.088270 -0.444363 0.019775 -0.524702 -0.066048 0.043042 0.010304 11.334474 13.385111
0.088000 0.090312 -0.484847 -0.012733 -0.604392 -0.069961 0.004090 0.006067 11.231874 13.779982
0.090000 0.092353 -0.446063 -0.037391 -0.596303 -0.084203 -0.007851 0.024039 11.374512 13.941106
